Header_Length,Protocol Type,Time_To_Live,Rate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ack_flag_number,ece_flag_number,cwr_flag_number,ack_count,syn_count,fin_count,rst_count,HTTP,HTTPS,DNS,Telnet,SMTP,SSH,IRC,TCP,UDP,DHCP,ARP,ICMP,IGMP,IPv,LLC,Tot sum,Min,Max,AVG,Std,Tot size,IAT,Number,Variance,Duration,Max_Flow_Duration,Avg_Flow_Duration,Flow_Count,Cov_PacketSize_IAT,Cov_PacketSize_FlowDuration,Cov_PacketCount_IAT,Corr_PacketSize_IAT,Corr_PacketSize_FlowDuration,Corr_PacketCount_IAT
32.0,6,52.8,500.674919,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4944,66,1494,494.4,689.789533,494.4,0.001997,10,475809.6,0.019973,0.0,0.0,10,-0.89647,-1.072587,0.0,-0.276728,-0.776807,
32.0,6,52.8,2480.809132,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4944,66,1494,494.4,689.789533,494.4,0.000533,10,475809.6,0.004031,0.0,0.0,10,0.095734,6.215164,0.0,0.229961,0.997959,
32.0,6,56.0,68.252336,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7800,66,1494,780.0,752.622083,780.0,0.014677,10,566440.0,0.146515,0.0,0.0,10,8.209686,9.094932,0.0,0.325847,0.283358,
32.0,6,64.0,3862.514044,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,16368,1494,2922,1636.8,451.57325,1636.8,0.000353,10,203918.4,0.002589,0.0,0.0,10,0.155572,0.055724,0.0,0.807804,0.115314,
32.0,6,64.0,2199.194631,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,23508,1494,8634,2350.8,2252.843181,2350.8,0.000471,10,5075302.4,0.004547,0.0,0.0,10,0.985342,1.365168,0.0,0.65085,0.378344,
32.0,6,52.8,618.3553,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4944,66,1494,494.4,689.789533,494.4,0.001632,10,475809.6,0.016172,0.0,0.0,10,-0.697447,0.294612,0.0,-0.255514,0.420137,
32.0,6,48.0,3453.238926,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,660,66,66,66.0,0.0,66.0,0.00029,10,0.0,0.002896,0.0,0.0,10,0.0,0.0,0.0,,,
32.0,6,48.0,3740.906172,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,660,66,66,66.0,0.0,66.0,0.000313,10,0.0,0.002673,0.0,0.0,10,0.0,0.0,0.0,,,
27.2,6,99.0,85.152813,0.0,0.0,0.0,0.0,0.8,0.0,0.0,8,0,0,0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.8,0.2,0.0,0.0,0.0,0.0,1.0,1.0,12396,66,2922,1239.6,1092.684686,1239.6,0.011744,10,1193959.822222,0.117436,0.0,0.0,25,-3.790011,103.207561,0.0,-0.151332,0.726412,
32.0,6,59.2,1000.597357,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,10656,66,1494,1065.6,689.789533,1065.6,0.001012,10,475809.6,0.009994,0.0,0.0,30,-0.060095,4.130538,0.0,-0.05158,0.902952,
32.0,6,64.0,6872.528265,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,14940,1494,1494,1494.0,0.0,1494.0,0.000146,10,0.0,0.001455,0.0,0.0,30,0.0,0.0,0.0,,,
32.0,6,54.4,1525.589786,0.0,0.0,0.0,0.1,1.0,0.0,0.0,10,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6534,66,2922,653.4,989.442065,653.4,0.001059,10,978995.6,0.006555,0.0,0.0,30,0.721577,3.494479,0.0,0.426833,0.618769,
32.0,6,48.0,587.923354,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,660,66,66,66.0,0.0,66.0,0.001786,10,0.0,0.017009,0.0,0.0,30,0.0,0.0,0.0,,,
24.0,6,107.9,46.207737,0.1,0.0,0.0,0.2,0.7,0.0,0.0,7,0,1,0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.7,0.2,0.0,0.1,0.0,0.0,0.9,0.9,1612,60,665,161.2,189.431782,161.2,0.021642,10,35884.4,0.216414,0.56649,0.113298,43,2.769149,-18849047178.2952,0.0,0.564668,-0.187709,
